Package               Version
--------------------- -------------
ansible               12.2.0
ansible-core          2.19.4
bcrypt                3.2.2
blinker               1.7.0
certifi               2025.11.12
cffi                  2.0.0
charset-normalizer    3.4.4
cryptography          41.0.7
dbus-python           1.3.2
distro                1.9.0
f5-icontrol-rest      1.3.13
f5-sdk                3.0.21
future                1.0.0
httplib2              0.20.4
idna                  3.11
invoke                2.2.1
Jinja2                3.1.6
junos-eznc            2.7.5
launchpadlib          1.11.0
lazr.restfulclient    0.14.6
lazr.uri              1.0.6
lxml                  6.0.2
markdown-it-py        4.0.0
MarkupSafe            3.0.3
mdurl                 0.1.2
napalm                5.1.0
ncclient              0.7.0
netaddr               1.3.0
netmiko               4.6.0
netutils              1.15.1
ntc_templates         3.5.0
oauthlib              3.2.2
packaging             24.0
paramiko              4.0.0
pip                   24.0
pycparser             2.23
pyeapi                1.0.4
Pygments              2.19.2
PyGObject             3.48.2
PyJWT                 2.7.0
PyNaCl                1.5.0
pyntc                 2.0.2
pynxos                0.0.5
pyparsing             3.1.1
pyserial              3.5
python-apt            2.7.7+ubuntu5
PyYAML                6.0.3
requests              2.32.5
resolvelib            1.0.1
rich                  14.2.0
ruamel.yaml           0.18.16
ruamel.yaml.clib      0.2.15
scp                   0.14.5
setuptools            68.1.2
six                   1.16.0
textfsm               1.1.3
transitions           0.9.3
ttp                   0.10.0
ttp-templates         0.3.7
typing_extensions     4.15.0
urllib3               2.5.0
wadllib               1.3.6
wheel                 0.42.0
yamlordereddictloader 0.4.2
